MES;NETO;COSTO MERCADERIAS;PERDIDAS;COMISIONES;COMISIONES EXTRA;FIJOS;MOVILIDAD;INSUMOS;INGRESOS PABLO
NULL;NULL;NULL;0,00;27963,25;0;0;0;0;NULL
NULL;NULL;NULL;0,00;63497,31;0;0;0;0;NULL
NULL;NULL;NULL;0,00;83375,86;0;0;0;0;NULL
2017-10;682211,71;290847,40;8198,18;62145,27;0;24761;0;0;35596,65
2017-11;840536,69;586024,05;4157,69;81210,91;0;24761;0;0;28377,54
2017-12;584118,93;404721,06;767,72;60709,05;0;49522;0;0;17520,71
2018-01;526995,11;366191,43;4745,13;54268,83;0;24761;36000;0;30161,14
2018-02;784445,07;563170,99;2616,99;63087,43;0;49522;51891;0;24679,38
2018-03;671466,12;469025,30;3297,39;70781,38;0;24761;57333;0;22242,70
2018-04;498704,23;363859,27;4576,95;42744,53;0;24761;35703;0;23083,28
2018-05;671098,73;473003,67;4430,31;66480,31;0;24761;57541;0;29908,61
2018-06;825685,71;592958,62;2410,75;77151,64;0;13194;27856;1845;30072,17
2018-07;739757,95;529180,45;3710,71;77743,92;0;26837;26699;120;33777,32
2018-08;814826,18;577379,82;4067,44;83238,97;0;13919,756;52154,099;210;27232,91
2018-09;945665,02;680401,42;5826,36;88066,41;0;31894;49748;1750;43758,98
2018-10;1175104,74;833886,68;8943,27;120975,07;0;31894;62925;2240;37704,21
2018-11;1064942,93;752154,74;3718,75;111458,22;0;59454;61083;1865;42652,04
2018-12;966815,83;677523,24;2111,59;104389,57;0;30946;27527;80;34349,94
2019-01;880265,55;630523,29;2092,28;82880,01;0;54572;52067;750;37129,60
2019-02;981930,46;699394,17;8912,62;104522,73;0;50546;68516;2950;38798,35
2019-03;766510,09;550632,48;4078,86;76338,95;0;50526;44786;2340;31545,59
2019-04;988868,02;747947,22;9123,97;97239,40;0;25288,298;32420,579;1000;36154,82
2019-05;1151379,06;897354,91;5205,26;86167,69;708;50576;61969;1530;45666,35
2019-06;808707,28;611400,72;3796,40;50047,65;6010;50484;43600;855;33800,44
2019-07;1338027,65;1018989,04;4118,39;79897,31;8368;51604;64378;450;53880,87
2019-08;1394370,43;1071238,79;6034,45;87678,52;3504;59334;68561;2345;51828,63
2019-09;1552570,47;1189888,12;5508,73;89230,19;8409;60356;70493;900;61064,81
2019-10;1450236,29;1096431,72;4370,14;87166,93;6362;60356;77823;1110;60165,86
2019-11;1563496,19;1185345,10;6076,77;97831,59;1025;70345;72954;1960;57948,18
2019-12;1269122,29;951916,54;3095,09;73203,93;8907;70782;54337;2090;47283,78
2020-01;1460865,33;1104520,72;2431,22;91519,31;0;35391;7502;0;71156,35
2020-02;1483383,37;1122408,73;5862,83;84313,02;2628;35391;33799;0;46021,00
2020-03;198890,62;151341,22;0,00;12674,83;0;0;0;0;6999,73
