FECHA;STOCK;ARMADOS FACTURADOS;ARMADOS;CLIENTES;COMISIONES FUTURAS;PROVEEDORs;CAJA;PATRIMONIO;DELTA;PORCENT;FECHA;DELTA
2019-06-15;20659967;-19682877;34429;595402;59540,2;629470;2410;920.321;;;;
2019-06-30;20971764;-19951212;67143;557804;55780,4;722785;101005;967.939;47.618;5,17 %;;
2019-07-15;21006643;-20400528;7565;717668;71766,8;357344;106020;1.008.257;40.319;4,17 %;2019-07-31;87.936
2019-07-31;21941585;-21188969;54881;842335;84233,5;650354;98205;1.013.450;5.192;0,51 %;;
2019-08-15;22681583;-21925121;0;916756;91675,6;850471;278990;1.010.061;-3.388;-0,33 %;;
2019-08-31;26615603;-25905097;16297;978040;97804;545306;51180;1.112.913;102.852;10,18 %;2019-08-31;104.656
2019-09-01;26615603;-25905097;16297;989537;98953,7;545306;0;1.072.080;-40.833;-3,67 %;;
2019-09-15;27330967;-26467192;8221;1152129;115212,9;700000;28145;1.237.057;164.977;15,39 %;;
2019-09-30;28175909;-27138853;0;1035852;103585,2;746851;45390;1.267.862;30.805;2,49 %;2019-09-30;154.949
2019-10-15;28904701;-27710524;24025;1014774;101477,4;999461;134785;1.266.823;-1.039;-0,08 %;;
2019-10-31;31288720;-29941250;52957;915675;91567,5;782076;52060;1.494.519;227.696;17,97 %;2019-10-31;226.657
2019-11-15;34454965;-32930614;5339;1045482;104548,2;1209124;6635;1.268.135;-226.384;-15,15 %;;
2019-11-30;34503681;-33344562;6003;831805;83180,5;735063;231465;1.410.149;142.014;11,20 %;2019-11-30;-84.370
2019-12-15;35185157;-33979329;32144;720182;72018,2;527784;121445;1.479.797;69.648;4,94 %;;
2019-12-31;35784653;-34457398;0;783556;78355,6;816171;87020;1.303.304;-176.492;-11,93 %;2019-12-31;-106.844
